iter	Passed	Remaining
0	2	228
1	4	204
2	5	192
3	7	176
4	11	213
5	13	209
6	15	202
7	17	195
8	18	188
9	20	182
10	21	176
11	23	172
12	26	177
13	28	172
14	29	169
15	31	166
16	33	162
17	34	158
18	36	155
19	37	151
20	40	152
21	42	150
22	44	148
23	46	146
24	48	145
25	50	142
26	51	140
27	54	140
28	56	137
29	57	134
30	59	131
31	60	129
32	62	127
33	64	125
34	66	123
35	69	123
36	71	121
37	73	119
38	74	116
39	76	114
40	77	111
41	78	108
42	80	106
43	81	104
44	84	103
45	86	101
46	87	98
47	89	96
48	91	95
49	93	93
50	94	91
51	96	89
52	99	88
53	100	85
54	101	83
55	103	81
56	105	79
57	106	77
58	108	75
59	110	73
60	111	71
61	114	69
62	115	67
63	117	65
64	118	63
65	120	61
66	122	60
67	124	58
68	125	56
69	127	54
70	129	52
71	131	50
72	132	48
73	133	47
74	135	45
75	136	43
76	138	41
77	139	39
78	142	37
79	144	36
80	145	34
81	146	32
82	148	30
83	149	28
84	151	26
85	152	24
86	154	23
87	155	21
88	157	19
89	159	17
90	161	15
91	162	14
92	164	12
93	165	10
94	167	8
95	168	7
96	169	5
97	171	3
98	173	1
99	174	0
